time;pid;state;info
70447453;11628;WAIT_READ_BEGIN;page=10
70447454;11628;READING;page=10
70448680;11628;RELEASE_READ_BEGIN;page=10
70448680;11628;IDLE;page=10
70448989;11628;WAIT_READ_BEGIN;page=12
70448989;11628;READING;page=12
70449953;11628;RELEASE_READ_BEGIN;page=12
70449954;11628;IDLE;page=12
70450494;11628;WAIT_READ_BEGIN;page=16
70451609;11628;READING;page=16
70452349;11628;RELEASE_READ_BEGIN;page=16
70452349;11628;IDLE;page=16
70452688;11628;WAIT_READ_BEGIN;page=9
70452688;11628;READING;page=9
70453891;11628;RELEASE_READ_BEGIN;page=9
70453891;11628;IDLE;page=9
70454370;11628;WAIT_READ_BEGIN;page=0
70456031;11628;READING;page=0
70456681;11628;RELEASE_READ_BEGIN;page=0
70456681;11628;IDLE;page=0
70457081;11628;WAIT_READ_BEGIN;page=7
70457934;11628;READING;page=7
70458537;11628;RELEASE_READ_BEGIN;page=7
70458537;11628;IDLE;page=7
70458953;11628;WAIT_READ_BEGIN;page=3
70458953;11628;READING;page=3
70459833;11628;RELEASE_READ_BEGIN;page=3
70459833;11628;IDLE;page=3
70460534;11628;WAIT_READ_BEGIN;page=4
70461125;11628;READING;page=4
70461849;11628;RELEASE_READ_BEGIN;page=4
70461849;11628;IDLE;page=4
70462280;11628;WAIT_READ_BEGIN;page=1
70462280;11628;READING;page=1
70463612;11628;RELEASE_READ_BEGIN;page=1
70463612;11628;IDLE;page=1
70464182;11628;WAIT_READ_BEGIN;page=16
70464182;11628;READING;page=16
70465687;11628;RELEASE_READ_BEGIN;page=16
70465687;11628;IDLE;page=16
70466321;11628;WAIT_READ_BEGIN;page=9
70466321;11628;READING;page=9
70467565;11628;RELEASE_READ_BEGIN;page=9
70467565;11628;IDLE;page=9
70467964;11628;WAIT_READ_BEGIN;page=2
70469143;11628;READING;page=2
70470588;11628;RELEASE_READ_BEGIN;page=2
70470588;11628;IDLE;page=2
70471194;11628;WAIT_READ_BEGIN;page=16
70471194;11628;READING;page=16
70471798;11628;RELEASE_READ_BEGIN;page=16
70471798;11628;IDLE;page=16
70472320;11628;WAIT_READ_BEGIN;page=0
70472320;11628;READING;page=0
70473543;11628;RELEASE_READ_BEGIN;page=0
70473543;11628;IDLE;page=0
70473821;11628;WAIT_READ_BEGIN;page=9
70473821;11628;READING;page=9
70475201;11628;RELEASE_READ_BEGIN;page=9
70475201;11628;IDLE;page=9
70475650;11628;WAIT_READ_BEGIN;page=2
70475901;11628;READING;page=2
70476753;11628;RELEASE_READ_BEGIN;page=2
70476753;11628;IDLE;page=2
70477377;11628;WAIT_READ_BEGIN;page=11
70477377;11628;READING;page=11
70478588;11628;RELEASE_READ_BEGIN;page=11
70478589;11628;IDLE;page=11
70479099;11628;WAIT_READ_BEGIN;page=8
70479099;11628;READING;page=8
70480094;11628;RELEASE_READ_BEGIN;page=8
70480094;11628;IDLE;page=8
70480605;11628;WAIT_READ_BEGIN;page=16
70481249;11628;READING;page=16
70482365;11628;RELEASE_READ_BEGIN;page=16
70482365;11628;IDLE;page=16
70482579;11628;WAIT_READ_BEGIN;page=10
70482579;11628;READING;page=10
70483667;11628;RELEASE_READ_BEGIN;page=10
70483667;11628;IDLE;page=10
