time;pid;state;info
70449656;3400;WAIT_WRITE_BEGIN;page=3
70451494;3400;WRITING;page=3
70452217;3400;RELEASE_WRITE_BEGIN;page=3
70452217;3400;IDLE;page=3
70452479;3400;WAIT_WRITE_BEGIN;page=4
70452479;3400;WRITING;page=4
70453193;3400;RELEASE_WRITE_BEGIN;page=4
70453193;3400;IDLE;page=4
70453423;3400;WAIT_WRITE_BEGIN;page=8
70453423;3400;WRITING;page=8
70454241;3400;RELEASE_WRITE_BEGIN;page=8
70454241;3400;IDLE;page=8
70454596;3400;WAIT_WRITE_BEGIN;page=9
70454596;3400;WRITING;page=9
70455216;3400;RELEASE_WRITE_BEGIN;page=9
70455216;3400;IDLE;page=9
70455431;3400;WAIT_WRITE_BEGIN;page=8
70455431;3400;WRITING;page=8
70456596;3400;RELEASE_WRITE_BEGIN;page=8
70456596;3400;IDLE;page=8
70456888;3400;WAIT_WRITE_BEGIN;page=2
70457505;3400;WRITING;page=2
70458915;3400;RELEASE_WRITE_BEGIN;page=2
70458915;3400;IDLE;page=2
70459375;3400;WAIT_WRITE_BEGIN;page=9
70459375;3400;WRITING;page=9
70460480;3400;RELEASE_WRITE_BEGIN;page=9
70460480;3400;IDLE;page=9
70461100;3400;WAIT_WRITE_BEGIN;page=12
70461429;3400;WRITING;page=12
70462539;3400;RELEASE_WRITE_BEGIN;page=12
70462539;3400;IDLE;page=12
70462958;3400;WAIT_WRITE_BEGIN;page=4
70462958;3400;WRITING;page=4
70464426;3400;RELEASE_WRITE_BEGIN;page=4
70464426;3400;IDLE;page=4
70464748;3400;WAIT_WRITE_BEGIN;page=15
70466007;3400;WRITING;page=15
70466859;3400;RELEASE_WRITE_BEGIN;page=15
70466860;3400;IDLE;page=15
70467524;3400;WAIT_WRITE_BEGIN;page=0
70467524;3400;WRITING;page=0
70468206;3400;RELEASE_WRITE_BEGIN;page=0
70468206;3400;IDLE;page=0
70468592;3400;WAIT_WRITE_BEGIN;page=11
70468592;3400;WRITING;page=11
70470098;3400;RELEASE_WRITE_BEGIN;page=11
70470098;3400;IDLE;page=11
70470562;3400;WAIT_WRITE_BEGIN;page=15
70470562;3400;WRITING;page=15
70471760;3400;RELEASE_WRITE_BEGIN;page=15
70471760;3400;IDLE;page=15
70472219;3400;WAIT_WRITE_BEGIN;page=7
70472237;3400;WRITING;page=7
70473131;3400;RELEASE_WRITE_BEGIN;page=7
70473131;3400;IDLE;page=7
70473565;3400;WAIT_WRITE_BEGIN;page=11
70474435;3400;WRITING;page=11
70474958;3400;RELEASE_WRITE_BEGIN;page=11
70474958;3400;IDLE;page=11
70475239;3400;WAIT_WRITE_BEGIN;page=5
70476031;3400;WRITING;page=5
70476541;3400;RELEASE_WRITE_BEGIN;page=5
70476541;3400;IDLE;page=5
70477226;3400;WAIT_WRITE_BEGIN;page=6
70477226;3400;WRITING;page=6
70477964;3400;RELEASE_WRITE_BEGIN;page=6
70477964;3400;IDLE;page=6
70478347;3400;WAIT_WRITE_BEGIN;page=14
70478347;3400;WRITING;page=14
70479590;3400;RELEASE_WRITE_BEGIN;page=14
70479590;3400;IDLE;page=14
70479819;3400;WAIT_WRITE_BEGIN;page=3
70479819;3400;WRITING;page=3
70481163;3400;RELEASE_WRITE_BEGIN;page=3
70481163;3400;IDLE;page=3
70481873;3400;WAIT_WRITE_BEGIN;page=3
70482958;3400;WRITING;page=3
70484140;3400;RELEASE_WRITE_BEGIN;page=3
70484140;3400;IDLE;page=3
